description,name,Nro de Inscripción,CUIT,Domicilio,Localidad,Provincia,Código Postal,Referente y Cargo,Teléf. de Contacto,E-Mail de contacto,WEB,Perfil de Facebook,Twitter,Programas,capa,Oeste,Sur,geometry
Nro de Inscripción: 26<br>CUIT: 33-71047489-9<br>Domicilio: Mitre 330 1ero<br>Localidad: Formosa<br>Provincia: Formosa<br>Código Postal: 3600<br>Referente y Cargo: Castellini Carlos Daniel Director Ejecutivo<br>Teléf. de Contacto: 03704 424429<br>E-Mail de contacto: daniel.castellini@eatnea.org<br>WEB: www.eatnea.org<br>Perfil de Facebook: https://web.facebook.com/ONGD.EATNEA<br>Twitter: <br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -58.172818<br>Sur: -26.179333,Asociación civil ONGD Educación Ambiente y Territorio,26,33-71047489-9,Mitre 330 1ero,Formosa,Formosa,3600,Castellini Carlos Daniel Director Ejecutivo,03704 424429,daniel.castellini@eatnea.org,www.eatnea.org,https://web.facebook.com/ONGD.EATNEA,,INCUBADORA PAC y Fondo Semilla,incubadora,-58.172818,-26.179333,"<Point><coordinates>-58.172818,-26.179333,0.0</coordinates></Point>"
Nro de Inscripción: 45<br>CUIT: 30-56225215-7<br>Domicilio: Urquiza 552<br>Localidad: Paraná<br>Provincia: Entre Ríos<br>Código Postal: 3100<br>Referente y Cargo: Sebastián Perez Coordinador Técnico de INCUBER<br>Teléf. de Contacto: 3434222172<br>E-Mail de contacto: sebastianperez@fceco.uner.edu.ar<br>WEB: www.fceco.uner.edu.ar<br>Perfil de Facebook: <br>Twitter: <br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -60.523917<br>Sur: -31.734304,Facultad de Ciencias Económicas - UNER,45,30-56225215-7,Urquiza 552,Paraná,Entre Ríos,3100,Sebastián Perez Coordinador Técnico de INCUBER,3434222172,sebastianperez@fceco.uner.edu.ar,www.fceco.uner.edu.ar,,,INCUBADORA PAC y Fondo Semilla,incubadora,-60.523917,-31.734304,"<Point><coordinates>-60.523917,-31.734304,0.0</coordinates></Point>"
Nro de Inscripción: 103<br>CUIT: 30-71279630-4<br>Domicilio: Rodriguez Peña 3455<br>Localidad: Mar del Plata<br>Provincia: Buenos Aires<br>Código Postal: 7600<br>Referente y Cargo: Jorge Luis Landaburu Referente Institucional<br>Teléf. de Contacto: 0223 156803556<br>E-Mail de contacto: jorgelandaburu@yahoo.com.ar<br>WEB: en construccion<br>Perfil de Facebook: <br>Twitter: <br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -57.566567<br>Sur: -38.008645,Asociacion civil Centro de Graduados de la Facultad de Ciencias Exactas y Naturales de la UNMDP,103,30-71279630-4,Rodriguez Peña 3455,Mar del Plata,Buenos Aires,7600,Jorge Luis Landaburu Referente Institucional,0223 156803556,jorgelandaburu@yahoo.com.ar,en construccion,,,INCUBADORA PAC y Fondo Semilla,incubadora,-57.566567,-38.008645,"<Point><coordinates>-57.566567,-38.008645,0.0</coordinates></Point>"
Nro de Inscripción: 63<br>CUIT: 30-54667116-6<br>Domicilio: Los inmigrantes 555<br>Localidad: Rio Gallegos<br>Provincia: Santa Cruz<br>Código Postal: 9400<br>Referente y Cargo: Martin Goicoechea Decano<br>Teléf. de Contacto: 02966-442426<br>E-Mail de contacto: uvt@frsc.utn.edu.ar<br>WEB: www.frsc.utn.edu.ar<br>Perfil de Facebook: UTN.FRSC<br>Twitter: @utn_frsc<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -69.218464<br>Sur: -51.634883,Universidad Tecnológica Nacional - Facultad Regional Santa Cruz,63,30-54667116-6,Los inmigrantes 555,Rio Gallegos,Santa Cruz,9400,Martin Goicoechea Decano,02966-442426,uvt@frsc.utn.edu.ar,www.frsc.utn.edu.ar,UTN.FRSC,@utn_frsc,INCUBADORA PAC y Fondo Semilla,incubadora,-69.218464,-51.634883,"<Point><coordinates>-69.218464,-51.634883,0.0</coordinates></Point>"
Nro de Inscripción: 44<br>CUIT: 30-58676141-9<br>Domicilio: General Pinto 399 -<br>Localidad: Tandil<br>Provincia: Buenos Aires<br>Código Postal: 7000<br>Referente y Cargo: Lic. Fernando Horigian Director del Centro de Innovacion y Creacion de Empresas<br>Teléf. de Contacto: 54 9 249 4385522<br>E-Mail de contacto: fh1208@gmail.com<br>WEB: http://www.cice.unicen.edu.ar/index.php/institucional/cice-unicen<br>Perfil de Facebook: https://www.facebook.com/cice.unicen/<br>Twitter: https://www.twitter.com/@ciceunicen<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -59.081679<br>Sur: -37.321171,Centro de Innovación y Creación de Empresas (CICE) – Universidad Nacional del Centro de la Provincia de Buenos Aires (UNCPBA) TANDIL,44,30-58676141-9,General Pinto 399 -,Tandil,Buenos Aires,7000,Lic. Fernando Horigian Director del Centro de Innovacion y Creacion de Empresas,54 9 249 4385522,fh1208@gmail.com,http://www.cice.unicen.edu.ar/index.php/institucional/cice-unicen,https://www.facebook.com/cice.unicen/,https://www.twitter.com/@ciceunicen,INCUBADORA PAC y Fondo Semilla,incubadora,-59.081679,-37.321171,"<Point><coordinates>-59.081679,-37.321171,0.0</coordinates></Point>"
"Nro de Inscripción: 1<br>CUIT: 30-53887212-8<br>Domicilio: Florida 15 3er<br>Localidad: CABA<br>Provincia: CABA<br>Código Postal: 1005<br>Referente y Cargo: Fernando Gabriel Pazzano Director Ejecutivo del Sector Industrial, Parques Industriales y Programas de Financiamiento y Competitividad PYME<br>Teléf. de Contacto: 5556-5556 Int. 327 / 246<br>E-Mail de contacto: financiamiento@came.org.ar<br>WEB: www.redcame.org.ar<br>Perfil de Facebook: CAME - Confederación Argentina de la Mediana Empresa<br>Twitter: @redcame<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -58.374679<br>Sur: -34.607659",Confederación Argentina de la Mediana Empresa,1,30-53887212-8,Florida 15 3er,CABA,CABA,1005,"Fernando Gabriel Pazzano Director Ejecutivo del Sector Industrial, Parques Industriales y Programas de Financiamiento y Competitividad PYME",5556-5556 Int. 327 / 246,financiamiento@came.org.ar,www.redcame.org.ar,CAME - Confederación Argentina de la Mediana Empresa,@redcame,INCUBADORA PAC y Fondo Semilla,incubadora,-58.374679,-34.607659,"<Point><coordinates>-58.374679,-34.607659,0.0</coordinates></Point>"
Nro de Inscripción: 42<br>CUIT: 30-70797390-7<br>Domicilio: Maipu 835 1 101<br>Localidad: Rosario<br>Provincia: Santa Fe<br>Código Postal: 2000<br>Referente y Cargo: Luciano Durand Vice presidente 1º y Gerente<br>Teléf. de Contacto: 0341 4113011<br>E-Mail de contacto: ldurand@aderr.org.ar<br>WEB: www.aderr.org.ar<br>Perfil de Facebook: Aderr Rosario<br>Twitter: @ADERRROSARIO<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -60.635994<br>Sur: -32.950317,AGENCIA DE DESARROLLO REGIONAL DE ROSARIO -ADERR-,42,30-70797390-7,Maipu 835 1 101,Rosario,Santa Fe,2000,Luciano Durand Vice presidente 1º y Gerente,0341 4113011,ldurand@aderr.org.ar,www.aderr.org.ar,Aderr Rosario,@ADERRROSARIO,INCUBADORA PAC y Fondo Semilla,incubadora,-60.635994,-32.950317,"<Point><coordinates>-60.635994,-32.950317,0.0</coordinates></Point>"
Nro de Inscripción: 61<br>CUIT: 30-69146404-7<br>Domicilio: 9 de Julio 555 1 28<br>Localidad: Tandil<br>Provincia: Buenos Aires<br>Código Postal: 7000<br>Referente y Cargo: Pedro Espondaburu Presidente<br>Teléf. de Contacto: 0249-4436867 0249-154628988<br>E-Mail de contacto: idebtandil@gmail.com<br>WEB: www.idebtandil.org.ar<br>Perfil de Facebook: Centro IDEB Tandil<br>Twitter: <br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -59.134751<br>Sur: -37.326160,CENTRO IDEB TANDIL.,61,30-69146404-7,9 de Julio 555 1 28,Tandil,Buenos Aires,7000,Pedro Espondaburu Presidente,0249-4436867 0249-154628988,idebtandil@gmail.com,www.idebtandil.org.ar,Centro IDEB Tandil,,INCUBADORA PAC y Fondo Semilla,incubadora,-59.134751,-37.32616,"<Point><coordinates>-59.134751,-37.32616,0.0</coordinates></Point>"
"Nro de Inscripción: 46<br>CUIT: 30-70955885-0<br>Domicilio: Necochea 84 1<br>Localidad: Rafaela<br>Provincia: Santa Fe<br>Código Postal: 2300<br>Referente y Cargo: Peiretti, Diego Director Secretaría de Desarrollo Económico, innovación y RRII. - miembro comisión directiva<br>Teléf. de Contacto: 03492-570085 03492- 427201 - int. 173<br>E-Mail de contacto: spepymes@rafaela.gov.ar<br>WEB: www.acdicar.org<br>Perfil de Facebook: <br>Twitter: <br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -61.491348<br>Sur: -31.254624",ACDICAR - Agencia para el Desarrollo de Rafaela,46,30-70955885-0,Necochea 84 1,Rafaela,Santa Fe,2300,"Peiretti, Diego Director Secretaría de Desarrollo Económico, innovación y RRII. - miembro comisión directiva",03492-570085 03492- 427201 - int. 173,spepymes@rafaela.gov.ar,www.acdicar.org,,,INCUBADORA PAC y Fondo Semilla,incubadora,-61.491348,-31.254624,"<Point><coordinates>-61.491348,-31.254624,0.0</coordinates></Point>"
"Nro de Inscripción: 21<br>CUIT: 30-52355240-2<br>Domicilio: Maipú 1065 Oficina 254<br>Localidad: Rosario<br>Provincia: Santa Fe<br>Código Postal: 2000<br>Referente y Cargo: RECTOR Héctor Floriani y/o br>SECRETARIO DE VINCULACIÓN TECNOLÓGICA Guillermo Beccani<br>Teléf. de Contacto: (0341) 4201200 INTERNO 322<br>E-Mail de contacto: rector@unr.edu.ar, guillermo.beccani@unr.edu.ar<br>WEB: www.unr.edu.ar<br>Perfil de Facebook: <br>Twitter: <br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -60.636008<br>Sur: -32.950281",SECRETARIA DE INTEGRACION Y DESARROLLO SOCIOCOMUNITARIO (UNR),21,30-52355240-2,Maipú 1065 Oficina 254,Rosario,Santa Fe,2000,RECTOR Héctor Floriani y/o br>SECRETARIO DE VINCULACIÓN TECNOLÓGICA Guillermo Beccani,(0341) 4201200 INTERNO 322,"rector@unr.edu.ar, guillermo.beccani@unr.edu.ar",www.unr.edu.ar,,,INCUBADORA PAC y Fondo Semilla,incubadora,-60.636008,-32.950281,"<Point><coordinates>-60.636008,-32.950281,0.0</coordinates></Point>"
Nro de Inscripción: 32<br>CUIT: 30-65012574-2<br>Domicilio: Héctor de Elía 1247<br>Localidad: Villa Elisa<br>Provincia: Entre Ríos<br>Código Postal: 3265<br>Referente y Cargo: Francou Agustina Responsable Área Pyme<br>Teléf. de Contacto: 03447-480066<br>E-Mail de contacto: agustinafrancou@hotmail.com<br>WEB: www.adesarrollo.com.ar<br>Perfil de Facebook: Asociación para el Desarrollo de Villa Elisa Y Zona<br>Twitter: <br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -58.400120<br>Sur: -32.165305,ASOCIACION PARA EL DESARROLLO DE VILLA ELISA Y ZONA,32,30-65012574-2,Héctor de Elía 1247,Villa Elisa,Entre Ríos,3265,Francou Agustina Responsable Área Pyme,03447-480066,agustinafrancou@hotmail.com,www.adesarrollo.com.ar,Asociación para el Desarrollo de Villa Elisa Y Zona,,INCUBADORA PAC y Fondo Semilla,incubadora,-58.40012,-32.165305,"<Point><coordinates>-58.40012,-32.165305,0.0</coordinates></Point>"
Nro de Inscripción: 55<br>CUIT: 30-71108930-2<br>Domicilio: Hudson 54 1º Apoyo a PyMEs y Emprendedores<br>Localidad: Comodoro Rivadavia<br>Provincia: Chubut<br>Código Postal: 9000<br>Referente y Cargo: Debora Reitovich Coordinadora Oficina Apoyo a PyMEs y Emprendedores<br>Teléf. de Contacto: 297 4558315/9125/9435<br>E-Mail de contacto: debora.reitovich@conocimiento.gob.ar<br>WEB: http://conocimiento.gob.ar/<br>Perfil de Facebook: Agencia Comodoro Conocimiento<br>Twitter: @conocimientoMC<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -67.465725<br>Sur: -45.828126,AGENCIA COMODORO CONOCIMIENTO,55,30-71108930-2,Hudson 54 1º Apoyo a PyMEs y Emprendedores,Comodoro Rivadavia,Chubut,9000,Debora Reitovich Coordinadora Oficina Apoyo a PyMEs y Emprendedores,297 4558315/9125/9435,debora.reitovich@conocimiento.gob.ar,http://conocimiento.gob.ar/,Agencia Comodoro Conocimiento,@conocimientoMC,INCUBADORA PAC y Fondo Semilla,incubadora,-67.465725,-45.828126,"<Point><coordinates>-67.465725,-45.828126,0.0</coordinates></Point>"
Nro de Inscripción: 15<br>CUIT: 30-70713847-1<br>Domicilio: San Martín 575 6 A<br>Localidad: CABA<br>Provincia: CABA<br>Código Postal: 1004<br>Referente y Cargo: Rolando Kandel Director Adjunto<br>Teléf. de Contacto: 53688370 1561828598 1526432040<br>E-Mail de contacto: incubadora@fundses.org.ar<br>WEB: www.fundses.org.ar<br>Perfil de Facebook: https://www.facebook.com/FundacionSes/?fref=ts<br>Twitter: <br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -58.373965<br>Sur: -34.601226,Fundación Sustentabilidad Educación Solidaridad,15,30-70713847-1,San Martín 575 6 A,CABA,CABA,1004,Rolando Kandel Director Adjunto,53688370 1561828598 1526432040,incubadora@fundses.org.ar,www.fundses.org.ar,https://www.facebook.com/FundacionSes/?fref=ts,,INCUBADORA PAC y Fondo Semilla,incubadora,-58.373965,-34.601226,"<Point><coordinates>-58.373965,-34.601226,0.0</coordinates></Point>"
"Nro de Inscripción: 86<br>CUIT: 30-54666670-7<br>Domicilio: Calle 7 776 Entrepiso Dirección de Vinculación Tecnológica<br>Localidad: La Plata<br>Provincia: Buenos Aires<br>Código Postal: 1900<br>Referente y Cargo: Otaño, Marcelo Eduardo Presidente<br>Teléf. de Contacto: 0221 6447052<br>E-Mail de contacto: incubadora.minerva@presi.unlp.edu.ar<br>WEB: www.unlp.edu.ar/minerva<br>Perfil de Facebook: https://www.facebook.com/MinervaUNLP<br>Twitter: @minervaunlp<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -57.950049<br>Sur: -34.914566",Minerva – Incubadora de la Universidad Nacional,86,30-54666670-7,Calle 7 776 Entrepiso Dirección de Vinculación Tecnológica,La Plata,Buenos Aires,1900,"Otaño, Marcelo Eduardo Presidente",0221 6447052,incubadora.minerva@presi.unlp.edu.ar,www.unlp.edu.ar/minerva,https://www.facebook.com/MinervaUNLP,@minervaunlp,INCUBADORA PAC y Fondo Semilla,incubadora,-57.950049,-34.914566,"<Point><coordinates>-57.950049,-34.914566,0.0</coordinates></Point>"
Nro de Inscripción: 35<br>CUIT: 33-69713992-9<br>Domicilio: Avenida San Martín 151<br>Localidad: Famaillá<br>Provincia: Tucumán<br>Código Postal: 4132<br>Referente y Cargo: Alfredo Dardo Pérez Presidente<br>Teléf. de Contacto: 03863-461465<br>E-Mail de contacto: centrodeempresarios@anetbz.com.ar<br>WEB: www.cefam.com.ar<br>Perfil de Facebook: https://www.facebook.com/CentroDeEmpresariosDeFamailla/?fref=ts<br>Twitter: twiter.com/CEFamailla<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -65.403592<br>Sur: -27.052384,Centro de Empresarios de Famaillá,35,33-69713992-9,Avenida San Martín 151,Famaillá,Tucumán,4132,Alfredo Dardo Pérez Presidente,03863-461465,centrodeempresarios@anetbz.com.ar,www.cefam.com.ar,https://www.facebook.com/CentroDeEmpresariosDeFamailla/?fref=ts,twiter.com/CEFamailla,INCUBADORA PAC y Fondo Semilla,incubadora,-65.403592,-27.052384,"<Point><coordinates>-65.403592,-27.052384,0.0</coordinates></Point>"
Nro de Inscripción: 83<br>CUIT: 33-54174243-9<br>Domicilio: Sarmiento 1236 5to<br>Localidad: CABA<br>Provincia: CABA<br>Código Postal: C1041AAZ<br>Referente y Cargo: Gabriel Tinghitella Líder del Área de Innovación (en formación)<br>Teléf. de Contacto: 4382-2076/79<br>E-Mail de contacto: innovacion@crea.org.ar<br>WEB: www.crea.org.ar<br>Perfil de Facebook: Movimiento CREA<br>Twitter: @movimiento_crea<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -58.384124<br>Sur: -34.605091,Asociación Argentina de Consorcios Regionales de Experimentación Agrícola,83,33-54174243-9,Sarmiento 1236 5to,CABA,CABA,C1041AAZ,Gabriel Tinghitella Líder del Área de Innovación (en formación),4382-2076/79,innovacion@crea.org.ar,www.crea.org.ar,Movimiento CREA,@movimiento_crea,INCUBADORA PAC y Fondo Semilla,incubadora,-58.384124,-34.605091,"<Point><coordinates>-58.384124,-34.605091,0.0</coordinates></Point>"
Nro de Inscripción: 96<br>CUIT: 30-71417477-7<br>Domicilio: Mendoza 188 2do<br>Localidad: San Juan<br>Provincia: San Juan<br>Código Postal: 5400<br>Referente y Cargo: Rosario Ahumada Coordinadora de operaciones<br>Teléf. de Contacto: 1149276339<br>E-Mail de contacto: rosario@nerdcube.club<br>WEB: http://www.nerdcube.club/<br>Perfil de Facebook: <br>Twitter: nerdcubeclub<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -68.840943<br>Sur: -32.901593,Nerdcube,96,30-71417477-7,Mendoza 188 2do,San Juan,San Juan,5400,Rosario Ahumada Coordinadora de operaciones,1149276339,rosario@nerdcube.club,http://www.nerdcube.club/,,nerdcubeclub,INCUBADORA PAC y Fondo Semilla,incubadora,-68.840943,-32.901593,"<Point><coordinates>-68.840943,-32.901593,0.0</coordinates></Point>"
Nro de Inscripción: 31<br>CUIT: 30-70771560-6<br>Domicilio: ESQUIU 861 0 7<br>Localidad: SAN FERNANDO DEL VALLE DE CATAMARCA<br>Provincia: Catamarca<br>Código Postal: 4700<br>Referente y Cargo: WALTER JAVIER ANDRADA APODERADO<br>Teléf. de Contacto: 0383 4434507 0383 15 4596317<br>E-Mail de contacto: adeccatamarca@gmail.com<br>WEB: www.adeccatamarca.org.ar<br>Perfil de Facebook: ADEC-Agencia para el Desarrollo de Catamarca<br>Twitter: -<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -65.774615<br>Sur: -28.466719,AGENCIA PARA EL DESARROLLO ECONOMICO DE CATAMARCA -ADEC CATAMARCA-,31,30-70771560-6,ESQUIU 861 0 7,SAN FERNANDO DEL VALLE DE CATAMARCA,Catamarca,4700,WALTER JAVIER ANDRADA APODERADO,0383 4434507 0383 15 4596317,adeccatamarca@gmail.com,www.adeccatamarca.org.ar,ADEC-Agencia para el Desarrollo de Catamarca,-,INCUBADORA PAC y Fondo Semilla,incubadora,-65.774615,-28.466719,"<Point><coordinates>-65.774615,-28.466719,0.0</coordinates></Point>"
"Nro de Inscripción: 75<br>CUIT: 30-71438167-5<br>Domicilio: Hipólito Yrigoyen 148 Primero (1º)<br>Localidad: La Rioja<br>Provincia: La Rioja<br>Código Postal: 5300<br>Referente y Cargo: Casulli Villacorta, María Fátima Coordinadora de Asistencia Técnica para Emprendedores<br>Teléf. de Contacto: (0380) 4453636<br>E-Mail de contacto: fatimacasulli@yahoo.com.ar<br>WEB: http://siypi.jimdo.com/<br>Perfil de Facebook: https://www.facebook.com/MinPlaneamientoeIndustria<br>Twitter: https://twitter.com/MinIndustriaLR<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -66.859008<br>Sur: -29.415509","Secretaría de Industria, Comercio y Promoción de Inversiones",75,30-71438167-5,Hipólito Yrigoyen 148 Primero (1º),La Rioja,La Rioja,5300,"Casulli Villacorta, María Fátima Coordinadora de Asistencia Técnica para Emprendedores",(0380) 4453636,fatimacasulli@yahoo.com.ar,http://siypi.jimdo.com/,https://www.facebook.com/MinPlaneamientoeIndustria,https://twitter.com/MinIndustriaLR,INCUBADORA PAC y Fondo Semilla,incubadora,-66.859008,-29.415509,"<Point><coordinates>-66.859008,-29.415509,0.0</coordinates></Point>"
"Nro de Inscripción: 57<br>CUIT: 33-70932924-9<br>Domicilio: 25 de May 1021<br>Localidad: Villa Lynch, Partido de San Martín<br>Provincia: Buenos Aires<br>Código Postal: 1650<br>Referente y Cargo: Ing. Laura Toledo Responsable de Programa de Inversión en Proyectos y Vinculación<br>Teléf. de Contacto: 4518-1716 (011) 5826-1877 (cel)<br>E-Mail de contacto: innovacion@fan.org.ar<br>WEB: www.fan.org.ar<br>Perfil de Facebook: /FundacionAgentinadeNanotecnologia<br>Twitter: @nano_fan<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -58.521497<br>Sur: -34.582125",Fundación Argentina de Nanotecnología,57,33-70932924-9,25 de May 1021,"Villa Lynch, Partido de San Martín",Buenos Aires,1650,Ing. Laura Toledo Responsable de Programa de Inversión en Proyectos y Vinculación,4518-1716 (011) 5826-1877 (cel),innovacion@fan.org.ar,www.fan.org.ar,/FundacionAgentinadeNanotecnologia,@nano_fan,INCUBADORA PAC y Fondo Semilla,incubadora,-58.521497,-34.582125,"<Point><coordinates>-58.521497,-34.582125,0.0</coordinates></Point>"
Nro de Inscripción: 109<br>CUIT: 30-71062570-7<br>Domicilio: Av. Córdoba 363<br>Localidad: CABA<br>Provincia: CABA<br>Código Postal: 1054<br>Referente y Cargo: Alejandro Nasser Presidente<br>Teléf. de Contacto: 6009-3344<br>E-Mail de contacto: info@unaje.org.ar<br>WEB: www.unaje.org.ar<br>Perfil de Facebook: UnajeOficial<br>Twitter: @UNAJE<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -58.372451<br>Sur: -34.598471,Unión Argentina de Jóvenes Empresarios,109,30-71062570-7,Av. Córdoba 363,CABA,CABA,1054,Alejandro Nasser Presidente,6009-3344,info@unaje.org.ar,www.unaje.org.ar,UnajeOficial,@UNAJE,INCUBADORA PAC y Fondo Semilla,incubadora,-58.372451,-34.598471,"<Point><coordinates>-58.372451,-34.598471,0.0</coordinates></Point>"
Nro de Inscripción: 106<br>CUIT: 30-70994196-4<br>Domicilio: Sarmiento 378 1° 0<br>Localidad: Gálvez<br>Provincia: Santa Fe<br>Código Postal: 2252<br>Referente y Cargo: María Laura Lamberto Gerente<br>Teléf. de Contacto: 03404-517292<br>E-Mail de contacto: adersanjeronimo@gmail.com<br>WEB: <br>Perfil de Facebook: laura lamberto<br>Twitter: <br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -61.219314<br>Sur: -32.031770,AGENCIA PARA EL DESARROLLO REGIONAL DEPARTAMENTO SAN JERÓNIMO,106,30-70994196-4,Sarmiento 378 1° 0,Gálvez,Santa Fe,2252,María Laura Lamberto Gerente,03404-517292,adersanjeronimo@gmail.com,,laura lamberto,,INCUBADORA PAC y Fondo Semilla,incubadora,-61.219314,-32.03177,"<Point><coordinates>-61.219314,-32.03177,0.0</coordinates></Point>"
"Nro de Inscripción: 93<br>CUIT: 30-99909329-5<br>Domicilio: Ruta Nº 259 17,25 - -<br>Localidad: Esquel<br>Provincia: Chubut<br>Código Postal: 9200<br>Referente y Cargo: Cristian Genero Secretario de Producción y Empleo<br>Teléf. de Contacto: Personal/Institucional: 02945-15683488, Institucional del CAPEC: 02945-15546576, Teléfono fijo de la Municipalidad de Esquel: 02945-451921<br>E-Mail de contacto: incubadora.capec.esquel@gmail.com<br>WEB: http://www.esquel.org.ar/ (en rediseño)<br>Perfil de Facebook: https://www.facebook.com/CAPECesquel<br>Twitter: @CAPECeqs<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -71.328675<br>Sur: -42.923613","Centro de Apoyo a la Producción de Esquel y la Comarca (CAPEC, Sec. de Producción y Empleo, Municipalidad de Esquel)",93,30-99909329-5,"Ruta Nº 259 17,25 - -",Esquel,Chubut,9200,Cristian Genero Secretario de Producción y Empleo,"Personal/Institucional: 02945-15683488, Institucional del CAPEC: 02945-15546576, Teléfono fijo de la Municipalidad de Esquel: 02945-451921",incubadora.capec.esquel@gmail.com,http://www.esquel.org.ar/ (en rediseño),https://www.facebook.com/CAPECesquel,@CAPECeqs,INCUBADORA PAC y Fondo Semilla,incubadora,-71.328675,-42.923613,"<Point><coordinates>-71.328675,-42.923613,0.0</coordinates></Point>"
"Nro de Inscripción: 41<br>CUIT: 30-71429851-4<br>Domicilio: Nicaragua 5867<br>Localidad: CABA<br>Provincia: CABA<br>Código Postal: 1414<br>Referente y Cargo: Contreras, Alejandro Presidente<br>Teléf. de Contacto: 3220-9275<br>E-Mail de contacto: acontreras@grupofounders.com<br>WEB: www.grupofounders.com<br>Perfil de Facebook: https://www.facebook.com/GrupoFounders/<br>Twitter: @GrupoFounders<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -58.436089<br>Sur: -34.579499",FOUNDERS LATAM S.A,41,30-71429851-4,Nicaragua 5867,CABA,CABA,1414,"Contreras, Alejandro Presidente",3220-9275,acontreras@grupofounders.com,www.grupofounders.com,https://www.facebook.com/GrupoFounders/,@GrupoFounders,INCUBADORA PAC y Fondo Semilla,incubadora,-58.436089,-34.579499,"<Point><coordinates>-58.436089,-34.579499,0.0</coordinates></Point>"
"Nro de Inscripción: 110<br>CUIT: 30-68287386-4<br>Domicilio: 29 de September 3901<br>Localidad: Lanus<br>Provincia: Buenos Aires<br>Código Postal: 1826<br>Referente y Cargo: Artaza, Jesica Responsable administrativa de la Incubadora<br>Teléf. de Contacto: 11-5533-5600 Internos 6116<br>E-Mail de contacto: jartaza@unla.edu.ar<br>WEB: www.unla.edu.ar<br>Perfil de Facebook: <br>Twitter: <br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -58.391285<br>Sur: -34.733912",UNIVERSIDAD NACIONAL DE LANÚS,110,30-68287386-4,29 de September 3901,Lanus,Buenos Aires,1826,"Artaza, Jesica Responsable administrativa de la Incubadora",11-5533-5600 Internos 6116,jartaza@unla.edu.ar,www.unla.edu.ar,,,INCUBADORA PAC y Fondo Semilla,incubadora,-58.391285,-34.733912,"<Point><coordinates>-58.391285,-34.733912,0.0</coordinates></Point>"
Nro de Inscripción: 50<br>CUIT: 30-54667024-0<br>Domicilio: San Martin 839 3 C<br>Localidad: San Miguel de Tucuman<br>Provincia: Tucumán<br>Código Postal: T4000CVQ<br>Referente y Cargo: Maria Isabel Ferrari Directora de Unidad de Negocios<br>Teléf. de Contacto: 381-5414813<br>E-Mail de contacto: nicolas.grignola@une.unt.edu.ar<br>WEB: www.une.unt.edu.ar<br>Perfil de Facebook: <br>Twitter: <br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -65.209601<br>Sur: -26.828592,IncubaUNT,50,30-54667024-0,San Martin 839 3 C,San Miguel de Tucuman,Tucumán,T4000CVQ,Maria Isabel Ferrari Directora de Unidad de Negocios,381-5414813,nicolas.grignola@une.unt.edu.ar,www.une.unt.edu.ar,,,INCUBADORA PAC y Fondo Semilla,incubadora,-65.209601,-26.828592,"<Point><coordinates>-65.209601,-26.828592,0.0</coordinates></Point>"
