Categoría,description,Articulador,Provincia,Localidad,Email,Sitio Web,Dirección,Teléfono,latitude,longitude
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Ciudad Autónoma de Buenos Aires (CON AROMA A BEBÉ),Emprendimiento CON AROMA A BEBÉ,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,conaromadebebe@gmail.com,,Ciudad Autónoma de Buenos Aires (Buenos Aires),,-34.609776,-58.394967
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Malvinas Argentinas (LA TEODORA),Emprendimiento LA TEODORA,Buenos Aires,Malvinas Argentinas,oficiodecampo@gmail.com / cuerogenuino@gmail.com,,Malvinas Argentinas (Buenos Aires),,-34.810458,-58.417007
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Mar del Plata (BARRO TAL VEZ),Emprendimiento BARRO TAL VEZ,Buenos Aires,Mar del Plata,virgi_gallego@hotmail.com,,Mar del Plata (Buenos Aires),,-38.07608,-57.553813
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Pablo Podestá (EL ORNATO),Emprendimiento EL ORNATO,Buenos Aires,Pablo Podestá,roavaleria@hotmail.com / vrfileteargentino@live.com,,Pablo Podestá (Buenos Aires),,-34.571657,-58.615653
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Laferrere (TRABAJO PUPORÉ),Cooperativa de TRABAJO PUPORÉ,Buenos Aires,Laferrere,cooperativapupore@yahoo.com.ar / reyesmguerrero@yahoo.com.ar,,Laferrere (Buenos Aires),,-34.748326,-58.622049
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Moreno (QUILLEN KULLYN),Emprendimiento QUILLEN KULLYN,Buenos Aires,Moreno,quillenkullyn@gmail.com,,Moreno (Buenos Aires),,-34.608175,-58.792179
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Hurlingham (SUE LECCÓ),Emprendimiento SUE LECCÓ,Buenos Aires,Hurlingham,su05@live.com.ar,,Hurlingham (Buenos Aires),,-34.630551,-58.645489
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Ciudad Autónoma de Buenos Aires (PRODUCTO COLECTIVO),Emprendimiento PRODUCTO COLECTIVO,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,eluneyartesanias@yahoo.com.ar / mirtanilda@gmail.com,,Ciudad Autónoma de Buenos Aires (Buenos Aires),,-34.621619,-58.498018
Emprendimientos Marca Colectiva,EMC – San Juan – Rivadavia (SU COSITAS),Emprendimiento SU COSITAS,San Juan,Rivadavia,svcositas@gmail.com,,Rivadavia (San Juan),,-31.533479,-68.588339
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Tres Arroyos (HELLO VOLA),Emprendimiento HELLO VOLA,Buenos Aires,Tres Arroyos,hello.vola@gmail.com,,Tres Arroyos (Buenos Aires),,-38.379295,-60.27861
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Ciudad Autónoma de Buenos Aires (FITA),Emprendimiento FITA,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,fitapiotti@gmail.com,,Ciudad Autónoma de Buenos Aires (Buenos Aires),,-34.573055,-58.443696
Emprendimientos Marca Colectiva,EMC – Mendoza – General Alvear (EL PATIO DE BABUSHKA),Emprendimiento EL PATIO DE BABUSHKA,Mendoza,General Alvear,patiorural@yahoo.com.ar,,General Alvear (Mendoza),,-34.974545,-67.683794
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Haedo (DOKU),Emprendimiento DOKU,Buenos Aires,Haedo,andrehippie@yahoo.com.ar / doku.diseño@gmail.com / andrealaura_garcia@hotmail.com,,Haedo (Buenos Aires),,-34.647712,-58.595396
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Isidro Casanova (PIURA),Emprendimiento PIURA,Buenos Aires,Isidro Casanova,enarmonia2012@hotmail.com,,Isidro Casanova (Buenos Aires),,-34.686911,-58.585213
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Avellaneda (SAN CARLOS SCT),Cooperativa de Trabajo SAN CARLOS SCT,Buenos Aires,Avellaneda,info@coopsancarlos.com.ar,,Avellaneda (Buenos Aires),,-34.676435,-58.358545
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Laferrere (DULCE LIBERATA),Emprendimiento DULCE LIBERATA,Buenos Aires,Laferrere,creaciones.delfi.07@hotmail.com,,Laferrere (Buenos Aires),,-34.738974,-58.582447
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Mar del Plata (NI COLAS),Emprendimiento NI COLAS,Buenos Aires,Mar del Plata,carmenaccesorios@hotmail.es,,Mar del Plata (Buenos Aires),,-38.038236,-57.5705
Emprendimientos Marca Colectiva,EMC – Buenos Aires – La Plata (TEXTIL DIAGONALES),Cooperativa de Trabajo TEXTIL DIAGONALES,Buenos Aires,La Plata,coopdiagonales@yahoo.com.ar / textillp@yahoo.com.ar,,La Plata (Buenos Aires),,-34.946251,-57.939507
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Santos Lugares (VOS LO CREASTE),Emprendimiento VOS LO CREASTE,Buenos Aires,Santos Lugares,estampaturemera@gmail.com / susanaocampoanriquez@gmail.com,,Santos Lugares (Buenos Aires),,-34.599377,-58.554741
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Haedo (ZERU EL),Emprendimiento ZERU EL,Buenos Aires,Haedo,fzeruel@gmail.com,,Haedo (Buenos Aires),,-34.63382,-58.604293
Emprendimientos Marca Colectiva,EMC – Córdoba – Saldán (TEXAL),Emprendimiento TEXAL,Córdoba,Saldán,textilsaldan@yahoo.com.ar / sapoguardian@hotmail.com / sierraschicas@yahoo.com.ar,,Saldán (Córdoba),,-31.302147,-64.28508
Emprendimientos Marca Colectiva,EMC – San Juan – Rawson (UNUK UAR),Emprendimiento UNUK UAR,San Juan,Rawson,marselacarrion@gmail.com,,Rawson (San Juan),,-31.564623,-68.563913
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Quilmes (TOCOSOL),Emprendimiento TOCOSOL,Buenos Aires,Quilmes,pitufinalamas@hotmail.com / miangelfran@hotmail.com / romerojessica@outlook.com.ar,,Quilmes (Buenos Aires),,-34.754738,-58.249708
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Ciudad Autónoma de Buenos Aires (CHUPITEITO),Emprendimiento CHUPITEITO,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,chupiteito@gmail.com,,Ciudad Autónoma de Buenos Aires (Buenos Aires),,-34.626102,-58.417463
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Santos Lugares (AMOR TAMBOR),Emprendimiento AMOR TAMBOR,Buenos Aires,Santos Lugares,k_anan_da@yahoo.com.ar / paulmalleret@hotmail.com,,Santos Lugares (Buenos Aires),,-34.601866,-58.537998
Punto Centralizado,Ministerio de Desarrollo Social,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,,http://www.desarrollosocial.gob.ar/,Av. 9 de Julio 1925 - CP C1073ABA - Ciudad Autónoma de Buenos Aires (Buenos Aires),0800-222-3294,-34.612095,-58.380984
Punto Centralizado,Formate en Red,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,formateenred@desarrollosocial.gob.ar,,Av. 9 de Julio 1925 - Piso 17 - CP C1073ABA - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4379-3090,-34.611872,-58.38113
Punto Centralizado,La experiencia cuenta,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,laexperienciacuenta@senaf.gob.ar,,Tte. General Juan Domingo Perón 524 - CP C1038AAL - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4338-5830,-34.605685,-58.374229
Punto Centralizado,Coordinación Nacional del Programa de Cuidadores Domiciliarios,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,cuidadores@senaf.gob.ar,,Tte. General Juan Domingo Perón 524 - CP C1038AAL - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4331-1134,-34.605685,-58.374229
Punto Centralizado,Dirección Nacional de Políticas para Adultos Mayores,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,dnpam@senaf.gob.ar,,Tte. General Juan Domingo Perón 524 - CP C1038AAL - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4338-5830 - Fax: 4342-9132,-34.605685,-58.374229
Punto Centralizado,"Secretaría Nacional de Niñez, Adolescencia y Familia",,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,jgabinete@senaf.gob.ar,,Tte. General Juan Domingo Perón 524 - CP C1038AAL - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4338-5800 ,-34.605685,-58.374229
Punto Centralizado,Espacio Unzué,,Buenos Aires,Mar del Plata,unzue@desarrollosocial.gob.ar,,Río Negro 3500 y La Costa - CP B7600IDB - Mar del Plata (buenos Aires),(0223) 4741288,-37.981185,-57.544999
Punto Centralizado,Sinfonía Popular,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,privadadesarrollo@senaf.gob.ar,,Ciudad Autónoma de Buenos Aires (Buenos Aires),,-34.595861,-58.471118
Punto Centralizado,Consejo Nacional de las Mujeres,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,presidencia@cnm.gob.ar,,Paseo Colón 275 - Piso 5 - CP C1063ACC - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4342-9010,-34.610903,-58.369642
Punto Centralizado,Subsecretaría de Juventud,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,juventud@desarrollosocial.gob.ar,,Paraná 426 - Entrepiso - CP C1017AAJ - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4370-6753,-34.603666,-58.387959
Punto Centralizado,Murales Colectivos,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,muralescolectivos@desarrollosocial.gob.ar,,Moreno 711 - Piso 6 - CP C1091AAO - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4348-6311,-34.611536,-58.376416
Punto Centralizado,Promotores Territoriales para el Cambio Social,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,info@promotoresterritoriales.org.ar,,Moreno 711 - Piso 2 - CP C1091AAO - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4343-0430,-34.611536,-58.376416
Punto Centralizado,Coordinación Tren de Desarrollo Social y Sanitario,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,trenargentino@outlook.com.ar,,Moreno 711 - Piso 4 - CP C1091AAO - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4331-2956,-34.611536,-58.376416
Punto Centralizado,Coordinación Nacional de Diversidad Sexual,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,diversidadsexual@desarrollosocial.gob.ar,,Misiones 71 - Piso 2 - CP C1083ABA - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4867-7291,-34.610993,-58.404604
Punto Centralizado,Programa Abordaje Comunitario,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,pnsa@desarrollosocial.gob.ar,,Misiones 71 - Piso 3 - CP C1083ABA - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4867-7183,-34.610993,-58.404604
Punto Centralizado,Dirección Nacional de Gestión de Centros de Referencia,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,dngcdr@desarrollosocial.gob.ar,,Misiones 71 - PB - CP C1083ABA - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4867-7206,-34.610993,-58.404604
Punto Centralizado,Editora Nacional Braille y Libro Parlante,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,editorabraille@senaf.gob.ar,,Hipólito Yrigoyen 2850 - CP C1207ABN - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4932-6696,-34.611304,-58.406541
Punto Centralizado,Comisión Nacional de Pensiones,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,presidencia_cnpa@desarrollosocial.gob.ar,,Hipólito Yrigoyen 1447 - CP C1089AAA - Ciudad Autónoma de Buenos Aires (Buenos Aires),0800-222-3294,-34.609877,-58.386895
Punto Centralizado,Proyecto Manos a la Obra,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,,,Av. Entre Ríos 181 - Piso 5 - CP C1079ABB - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4370-8729,-34.611171,-58.391889
Punto Centralizado,Subsecretaría de Responsabilidad Social,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,infors@desarrollosocial.gob.ar,,Delfín Huergo 131 - CP C1426BQA - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4775-5403,-34.57375,-58.430223
Punto Centralizado,Emprendedores de Nuestra Tierra,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,emprendedores@desarrollosocial.gob.ar,,Delfín Huergo 131  - Piso 1 - CP C1426BQA - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 3752-2101,-34.57375,-58.430223
Punto Centralizado,Dirección de Desarrollo y Posicionamiento de Marca Colectiva,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,marcacolectiva@desarrollosocial.gob.ar,,Delfín Huergo 131 - CP C1426BQA - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 3752-2136,-34.57375,-58.430223
Punto Centralizado,Programa Pro Huerta,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,prohuer@correo.inta.gob.ar,,Chile 460 - Piso 1 - CP C1098AAJ - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4339-0564,-34.616072,-58.372484
Punto Centralizado,Dirección de Asistencia Directa por Situaciones Especiales,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,dadse@desarrollosocial.gov.ar,,Rivadavia 870 - CP C1002AAT - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4121-4609,-34.608289,-58.378675
Punto Centralizado,Comisión Nacional Asesora para la Integración de Personas con Discapacidad,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,consultas@conadis.gob.ar,,Av. Pres. Julio A. Roca 782 - Piso 4 - CP C1067ABP - Ciudad Autónoma de Buenos Aires (Buenos Aires),0800-333-2662,-34.612632,-58.377345
Punto Centralizado,Comisión Nacional de Microcrédito,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,comunicacionconami@desarrollosocial.gob.ar,,Av. Entre Ríos 181 - Piso 8 - CP C1079ABB - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4370-8868,-34.611171,-58.391889
Punto Centralizado,Centros Integradores Comunitarios,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,comunicacioncics@gmail.com,,Av. de Mayo 869 - Piso 6 - CP C1084AAD - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4121-4754,-34.608845,-58.378727
Punto Centralizado,Programa MOST – UNESCO,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,privadaministro@desarrollosocial.gob.ar,,Av. 9 de Julio 1925 - Piso 14 - CP C1073ABA - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4379-3648 ,-34.611872,-58.38113
Punto Centralizado,Asuntos Internacionales,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,internacionales@desarrollosocial.gob.ar,,Av. 9 de Julio 1925 - Piso 17 - CP C1073ABA - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4379-3765,-34.611872,-58.38113
Punto Centralizado,Ferias y Mercados,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,comercializacion@desarrollosocial.gov.ar,,Delfín Huergo 131 - CP C1426BQA - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 3752-2103,-34.57375,-58.430223
Punto Centralizado,Títeres,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,expresa@desarrollosocial.gob.ar,,Av. 9 de julio 1925 - CP C1079ABB - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4379-3133,-34.611872,-58.38113
Punto Centralizado,Teatro de la vida cotidiana,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,expresa@desarrollosocial.gob.ar,,Av. 9 de julio 1925 - CP C1079ABB - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4379-3133,-34.611872,-58.38113
Punto Centralizado,Teatro,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,expresa@desarrollosocial.gob.ar,,Av. 9 de julio 1925 - CP C1079ABB - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4379-3133,-34.611872,-58.38113
Punto Centralizado,Danza,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,​danza@desarrollosocial.gob.ar,,Av. 9 de Julio 1925 - CP C1073ABA - Ciudad Autónoma de Buenos Aires (Buenos Aires),,-34.611872,-58.38113
Punto Centralizado,Proyecto Familias y Nutrición,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma deBuenos Aires,familiasynutricion@desarrollosocial.gob.ar,,Av. 9 de Julio 1925 - Piso 16 - CP C1073ABA - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4379-3048,-34.611872,-58.38113
Punto Centralizado,Educación Alimentaria Nutricional,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,pnsanutricion@desarrollosocial.gob.ar,,Av. 9 de Julio 1925 - Piso 16 - CP C1073ABA - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4379-3013,-34.611872,-58.38113
Punto Centralizado,Plan Nacional de Seguridad Alimentaria,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,pnsa@desarrollosocial.gob.ar,,Av. 9 de Julio 1925 - Piso 16 - CP C1073ABA - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4379-3710 ,-34.611872,-58.38113
Punto Centralizado,Subsecretaría de Organización y Capacitación Popular,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,subocpop@desarrollosocial.gob.ar,,Av. 9 de Julio 1925 - Piso 17 - CP C1073ABA - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4379-3879 ,-34.611872,-58.38113
Punto Centralizado,Plan Nacional de Abordaje Integral,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,planahi@desarrollosocial.gob.ar,,Av. 9 de Julio 1925 - Piso 14 - CP C1073ABA - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4379-3922 ,-34.611872,-58.38113
Punto Centralizado,Ellas Hacen,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,argentinatrabaja@desarrollosocial.gob.ar,,25 de Mayo 606 PB°  - CP C1002ABN - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4320-3359,-34.600665,-58.371344
Punto Centralizado,Ingreso Social con Trabajo,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,argentinatrabaja@desarrollosocial.gob.ar,,25 de Mayo 606 PB° - CP C1002ABN - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4320-3359,-34.600665,-58.371344
Punto Centralizado,Dirección Nacional de Fomento del Monotributo Social,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,monotributosocial@desarrollosocial.gob.ar,,25 de Mayo 606 - CP C1002ABN - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4320-3360,-34.600665,-58.371344
Punto Centralizado,"Argentina Trabaja, Enseña y Aprende",,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,argentinatrabaja@desarrollosocial.gob.ar,,25 de Mayo 606 - Piso 8 - CP C1002ABN - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4316-4938,-34.600665,-58.371344
Emprendimientos Marca Colectiva,EMC – Córdoba – Río Ceballos (DULCE RETOÑO),Emprendimiento DULCE RETOÑO,Córdoba,Río Ceballos,dulceretono@hotmail.com ,,Río Ceballos (Córdoba),,-31.170748,-64.316045
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Merlo (IMMY),Emprendimiento IMMY,Buenos Aires,Merlo,isamen74@yahoo.com.ar,,Merlo (Buenos Aires),,-34.688654,-58.714868
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Ciudad Autónoma de Buenos Aires (ATILIN ZAPATOS),Emprendimiento ATILIN ZAPATOS,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,atilinzapatos@gmail.com,,Ciudad Autónoma de Buenos Aires (Buenos Aires),,-34.616301,-58.40439
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Quilmes (PARODITAS),Emprendimiento PARODITAS,Buenos Aires,Quilmes,parodivanina@gmail.com,,Quilmes (Buenos Aires),,-34.72748,-58.230906
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Ciudad Autónoma de Buenos Aires (KUMBA MACACO),Emprendimiento KUMBA MACACO,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,kumbamacaco@gmail.com ,,Ciudad Autónoma de Buenos Aires (Buenos Aires),,-34.636144,-58.439338
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Lomas de Zamora (LUPE CRUZ),Emprendimiento LUPE CRUZ,Buenos Aires,Lomas de Zamora,cruzmonicam@hotmail.com,,Lomas de Zamora (Buenos Aires),,-34.761527,-58.429295
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Bella Vista (LA JUNTADA),Emprendimiento LA JUNTADA,Buenos Aires,Bella Vista,magdaceramica@gmail.com,,Bella Vista (Buenos Aires),,-34.554141,-58.685492
Emprendimientos Marca Colectiva,EMC – Buenos Aires – La Tablada (UNIFORMES CG),Emprendimiento UNIFORMES CG,Buenos Aires,La Tablada,gloriacarrizano@live.com.ar,,La Tablada (Buenos Aires),,-34.687318,-58.543903
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Lomas del Mirador (ATEMPORE),Emprendimiento ATEMPORE,Buenos Aires,Lomas del Mirador,saracostanso@hotmail.com,,Lomas del Mirador (Buenos Aires),,-34.662553,-58.537974
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Ciudad Autónoma de Buenos Aires (LOS VESTIDOS DE LA REINA RAMONA),Emprendimiento LOS VESTIDOS DE LA REINA RAMONA,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,dimasiromina@gmail.com ,,Ciudad Autónoma de Buenos Aires (Buenos Aires),,-34.618859,-58.388284
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Arrecifes (M&A),Cooperativa de Trabajo M&A,Buenos Aires,Arrecifes,cooptrab-mya@hotmail.com,,Arrecifes (Buenos Aires),,-34.063877,-60.103489
Emprendimientos Marca Colectiva,EMC – Santa Fe – Rosario (INDIRA DISEÑOS),Emprendimiento INDIRA DISEÑOS,Santa Fe,Rosario,indira_dis@hotmail.com.ar,,Rosario (Santa Fé),,-32.884651,-60.702576
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Isidro Casanova (CONCIENCIA ECOLÓGICA),Emprendimiento CONCIENCIA ECOLÓGICA,Buenos Aires,Isidro Casanova,proyectounem@gmail.com ,,Isidro Casanova (Buenos Aires),,-34.712755,-58.599439
Ferias Permanentes,FP – La Rioja – Villa Unión,FERIA PERMANENTE VILLA UNIÓN - FRECUENCIA QUINCENAL,La Rioja,Villa Unión,"giselaquiroga20009@hotmail.com
",,Plaza General San Martin (Hipólito Irigoyen y Avenida Nicolás Dávila) - CP 5350 - Villa Unión (La Rioja),(03825) 4700270,-29.412769,-66.855865
Ferias Permanentes,FP – Catamarca – Santa María,FERIA PERMANENTE SANTA MARÍA - FRECUENCIA SEMANAL,Catamarca,Santa María,accionsocialsm@hotmail.com,,Plaza Gral. Belgrano (Sarmiento y Belgrano) - CP 4139 - Santa María (Catamarca),(03838) 423967,-26.694573,-66.048168
Ferias Permanentes,FP – Tucumán – San Isidro de Lules,FERIA PERMANENTE SAN ISIDRO DE LULES - FRECUENCIA MENSUAL,Tucumán,San Isidro de Lules,sufarias1@yahoo.com.ar,,Plaza 9 de Julio (San Martín y Zoilo Domínguez) - CP 4128 - San Isidro de Lules (Tucumán),(0381) 155713190  ,-26.922277,-65.337785
Ferias Permanentes,FP – La Rioja – San Blas de los Sauces,FERIA PERMANENTE SAN BLAS DE LOS SAUCES - FRECUENCIA QUINCENAL,La Rioja,San Blas de los Sauces,silviacarrizo20@hotmail.com,,Plaza Central (Ruta Nacional 40)- CP 5329 - San Blas de los Sauces (La Rioja),(03827) 15408000 ,-28.413684,-67.097694
Ferias Permanentes,FP – Santa Fe – Rufino,FERIA PERMANENTE RUFINO - FRECUENCIA QUINCENAL,Santa Fe,Rufino,gabrielasiola@gmail.com,,Plaza Sarmiento (España e Italia) - CP 6100 - Rufino (Santa Fe) ,(03382) 15418281,-34.261776,-62.711948
Ferias Permanentes,FP – Santa Fe – Recreo,FERIA PERMANENTE RECREO - FRECUENCIA QUINCENAL,Santa Fe,Recreo,marianafantin@yahoo.com.ar,,Plaza San Martin (Mitre N° 1200) - CP S3018AGY - Recreo (Santa Fe),(0342) 4560007,-31.49091,-60.735517
Ferias Permanentes,FP – La Rioja – Olta,FERIA PERMANENTE OLTA - FRECUENCIA QUINCENAL,La Rioja,Olta,roxanaheredia@yahoo.com.ar,,Plaza Central (José S. Salinas y San Martín) - CP 5383 - Olta (La Rioja),(03826) 15430509  ,-30.630605,-66.267305
Ferias Permanentes,FP – La Rioja – La Rioja,FERIA PERMANENTE LA RIOJA CAPITAL - FRECUENCIA SEMANAL,La Rioja,La Rioja,latechy1966@hotmail.com,,Parque Provincial de la Ciudad (Av. Circunvalación y Av. De las Palmeras) - CP 5300 - La Rioja (La Rioja),(0380) 4453762,-29.426076,-66.83424
Ferias Permanentes,FP – Buenos Aires – General Pinto,FERIA PERMANENTE GENERAL PINTO - FRECUENCIA MENSUAL,Buenos Aires,General Pinto,culturapinto@yahoo.com.ar,,Predio de la Ex Estación del Ferrocarril (Rivadavia N° 348) - CP B6050AYH - General Pinto (Buenos Aires),(02356) 420093,-34.77027,-61.890267
Ferias Permanentes,FP – La Rioja – Chilecito,FERIA PERMANENTE CHILECITO - FRECUENCIA SEMANAL,La Rioja,Chilecito,misaelcd@hotmail.com.ar,,Plazoleta Sta. Rita (Zelada Dávila y RN 40) - CP 5360 - Chilecito (La Rioja),(03825) 15534259 ,-29.166078,-67.49791
Ferias Permanentes,FP – La Rioja – Aminga,FERIA PERMANENTE AMINGA - FRECUENCIA MENSUAL,La Rioja,Aminga,secretariaproduccioncb@gmail.com,,Plaza de la Cultura (Lalo Caceres y Alto del Inca) - CP 5301 - Aminga (La Rioja),(03827) 494411 ,-28.84774,-66.93059
Ferias Permanentes,FP – La Rioja – Aimogasta,FERIA PERMANENTE ARAUCO - FRECUENCIA SEMANAL,La Rioja,Arauco,area.mujer.aimo.lr@gmail.com ,,Plaza Inmaculada Concepción (San Martin y 9 de Julio) - CP 5310 - Arauco (La Rioja),(03827) 15458128,-28.553604,-66.813495
Emprendimientos Marca Colectiva,EMC – Buenos Aires – Mar del Plata (NIVEL MÁS),Emprendimiento NIVEL MÁS,Buenos Aires,Mar del Plata,nivelmasestudio@gmail.com ,,Mar del Plata (Buenos Aires),,-38.004735,-57.558625
